Condition,Medicine Names,Purpose
Advanced-Stage Colorectal Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, blood clot prevention, and infection control."
Recurrent Colorectal Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery symptom control, anesthesia support, and infection prevention."
Recurrent Colorectal Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection prevention, and clot prevention."
Metastatic Colorectal Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery swelling reduction, nausea control, and infection prevention."
Metastatic Colorectal Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection control, and blood clot prevention."
"Embryonal Tumors (Medulloblastoma, CNS Tumors, Childhood)","Cisplatin, Vincristine, Doxorubicin (Adriamycin), Cyclophosphamide, Methotrexate, Temozolomide, Lomustine (CCNU), Etoposide",Chemotherapy for primary treatment of medulloblastoma and other CNS embryonal tumors.
Medulloblastoma (Childhood),"Cisplatin, Vincristine, Cyclophosphamide, Etoposide, Methotrexate, Temozolomide, Doxorubicin (Adriamycin)",Chemotherapy for medulloblastoma treatment.
Other CNS Embryonal Tumors,"Cisplatin, Vincristine, Cyclophosphamide, Methotrexate, Temozolomide, Etoposide, Lomustine (CCNU)","Chemotherapy for other CNS embryonal tumors (e.g., medulloblastoma)."
Relapsed or Recurrent Medulloblastoma,"Cyclophosphamide, Vincristine, Cisplatin, Ifosfamide, Temozolomide, Doxorubicin (Adriamycin)",Chemotherapy for recurrent or relapsed medulloblastoma.
Metastatic Medulloblastoma,"Vincristine, Cyclophosphamide, Cisplatin, Ifosfamide, Temozolomide, Doxorubicin (Adriamycin)",Chemotherapy for metastatic medulloblastoma treatment.
"Embryonal Tumors (Medulloblastoma, CNS Tumors, Childhood) (Pre-surgery)","Dexamethasone, Ondansetron (Zofran), Fentanyl, Midazolam, Cefazolin","Pre-surgery inflammation reduction, nausea prevention, anesthesia adjuncts, and infection control."
"Embryonal Tumors (Medulloblastoma, CNS Tumors, Childhood) (Post-surgery)","Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Medulloblastoma (Childhood) (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Fentanyl, Midazolam, Cefazolin","Reduce inflammation, nausea management, and prevent infection before surgery."
Medulloblastoma (Childhood) (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection control, and blood clot prevention."
Other CNS Embryonal Tumors (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Fentanyl, Midazolam, Cefazolin","Pre-surgery symptom control, anesthesia support, and infection prevention."
Other CNS Embryonal Tumors (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection prevention, and blood clot prevention."
Relapsed or Recurrent Medulloblastoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Fentanyl, Midazolam, Cefazolin","Pre-surgery swelling reduction, nausea management, and infection control."
Relapsed or Recurrent Medulloblastoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain management, infection prevention, and clot prevention after surgery."
Metastatic Medulloblastoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Fentanyl, Midazolam, Cefazolin","Pre-surgery symptom management, nausea prevention, and infection control."
Metastatic Medulloblastoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, blood clot prevention, and infection control."
Endometrial Cancer,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Cisplatin, Methotrexate, Tamoxifen, Letrozole, Medroxyprogesterone, Mechlorethamine, Ifosfamide","Chemotherapy, hormone therapy, and targeted therapy for endometrial cancer treatment."
Recurrent Endometrial Cancer,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Ifosfamide, Cisplatin, Medroxyprogesterone, Tamoxifen",Chemotherapy and hormone therapy for recurrent endometrial cancer.
Metastatic Endometrial Cancer,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Cisplatin, Bevacizumab (Avastin), Letrozole",Chemotherapy and targeted therapy for metastatic endometrial cancer.
Endometrial Cancer with High-Risk Features,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Cisplatin, Tamoxifen, Medroxyprogesterone",Chemotherapy and hormone therapy for high-risk endometrial cancer management.
Endometrial Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery inflammation reduction, nausea prevention, and infection control."
Endometrial Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Recurrent Endometrial Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery swelling reduction, nausea control, and infection prevention."
Recurrent Endometrial Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain management, infection prevention, and clot prevention after surgery."
Metastatic Endometrial Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery nausea control, infection management, and swelling reduction."
Metastatic Endometrial Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection control, and blood clot prevention."
Endometrial Cancer with High-Risk Features (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery reduction of symptoms, anesthesia support, and infection control."
Endometrial Cancer with High-Risk Features (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection prevention, and blood clot prevention"
Ependymoma (Childhood),"Vincristine, Cyclophosphamide, Doxorubicin (Adriamycin), Etoposide, Methotrexate, Temozolomide, Lomustine (CCNU)",Chemotherapy for treatment of ependymoma in children.
Recurrent Ependymoma,"Vincristine, Cyclophosphamide, Doxorubicin (Adriamycin), Temozolomide, Etoposide, Ifosfamide",Chemotherapy for recurrent or relapsed ependymoma.
Metastatic Ependymoma,"Vincristine, Cyclophosphamide, Doxorubicin (Adriamycin), Etoposide, Temozolomide, Lomustine (CCNU)",Chemotherapy for metastatic ependymoma.
Ependymoma (Childhood) (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery inflammation control, nausea management, and infection prevention."
Ependymoma (Childhood) (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Recurrent Ependymoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Swelling reduction, nausea prevention, and infection control before surgery."
Recurrent Ependymoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection control, and blood clot prevention."
Metastatic Ependymoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery symptom management, nausea prevention, and infection control."
Metastatic Ependymoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection prevention, and clot prevention."
Endometrial Cancer,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Cisplatin, Methotrexate, Tamoxifen, Letrozole, Medroxyprogesterone, Mechlorethamine, Ifosfamide","Chemotherapy, hormone therapy, and targeted therapy for endometrial cancer treatment."
Recurrent Endometrial Cancer,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Ifosfamide, Cisplatin, Medroxyprogesterone, Tamoxifen",Chemotherapy and hormone therapy for recurrent endometrial cancer.
Metastatic Endometrial Cancer,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Cisplatin, Bevacizumab (Avastin), Letrozole",Chemotherapy and targeted therapy for metastatic endometrial cancer.
Endometrial Cancer with High-Risk Features,"Doxorubicin (Adriamycin), Paclitaxel, Carboplatin, Cisplatin, Tamoxifen, Medroxyprogesterone",Chemotherapy and hormone therapy for high-risk endometrial cancer management.
Endometrial Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery inflammation reduction, nausea prevention, and infection control."
Endometrial Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Recurrent Endometrial Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery swelling reduction, nausea control, and infection prevention."
Recurrent Endometrial Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain management, infection prevention, and clot prevention after surgery."
Metastatic Endometrial Cancer (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery nausea control, infection management, and swelling reduction."
Metastatic Endometrial Cancer (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection control, and blood clot prevention."
Endometrial Cancer with High-Risk Features (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery reduction of symptoms, anesthesia support, and infection control."
Endometrial Cancer with High-Risk Features (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection prevention, and blood clot prevention."
Intraocular Melanoma,"Melphalan, Cisplatin, Dacarbazine, Temozolomide, Pembrolizumab (Keytruda), Ipilimumab (Yervoy), Bevacizumab (Avastin)","Chemotherapy, targeted therapy, and immunotherapy for treating intraocular melanoma."
Recurrent Intraocular Melanoma,"Melphalan, Cisplatin, Dacarbazine, Temozolomide, Pembrolizumab (Keytruda), Ipilimumab (Yervoy)","Chemotherapy, immunotherapy, and targeted therapy for recurrent intraocular melanoma."
Metastatic Intraocular Melanoma,"Ipilimumab (Yervoy), Pembrolizumab (Keytruda), Dabrafenib, Trametinib, Temozolomide",Immunotherapy and targeted therapy for metastatic intraocular melanoma.
Intraocular Melanoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery inflammation control, nausea management, and infection prevention."
Intraocular Melanoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Recurrent Intraocular Melanoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery symptom control, nausea prevention, and infection management."
Recurrent Intraocular Melanoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection prevention, and clot prevention."
Metastatic Intraocular Melanoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery symptom management, nausea control, and infection prevention."
Metastatic Intraocular Melanoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection prevention, and blood clot prevention."
Retinoblastoma,"Carboplatin, Vincristine, Etoposide, Cyclophosphamide, Melphalan, Topotecan, Methotrexate, Tamoxifen",Chemotherapy for the treatment of retinoblastoma.
Recurrent Retinoblastoma,"Carboplatin, Vincristine, Etoposide, Cyclophosphamide, Topotecan, Temozolomide",Chemotherapy for recurrent retinoblastoma.
Metastatic Retinoblastoma,"Carboplatin, Vincristine, Etoposide, Cyclophosphamide, Topotecan, Melphalan",Chemotherapy for metastatic retinoblastoma.
Retinoblastoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery inflammation control, nausea management, and infection prevention."
Retinoblastoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Pain relief, infection prevention, and blood clot prevention after surgery."
Recurrent Retinoblastoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery symptom control, nausea prevention, and infection management."
Recurrent Retinoblastoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain relief, infection prevention, and clot prevention."
Metastatic Retinoblastoma (Pre-surgery),"Dexamethasone, Ondansetron (Zofran), Midazolam, Fentanyl, Cefazolin","Pre-surgery symptom management, nausea control, and infection prevention."
Metastatic Retinoblastoma (Post-surgery),"Acetaminophen, Ibuprofen, Morphine, Oxycodone, Enoxaparin (Lovenox), Ceftriaxone, Levofloxacin","Post-surgery pain management, infection prevention, and blood clot prevention."
